ERC20_most_rec_token_type,count
OmiseGO,693
Blockwell say NOTSAFU,623
DATAcoin,288
Livepeer Token,167
EOS,137
XENON,115
Golem,104
GSENetwork,67
Tronix,62
blockwell.ai KYC Casper Token,53
Promodl,44
INS Promo,37
KickCoin,37
VIU,36
Bulleon Promo Token,35
StatusNetwork,35
Free BOB Tokens - BobsRepair.com,32
ERC20,30
Reputation,27
www.pnztrust.com,27
BOX Token,26
BAT,26
AICRYPTO,22
CANDY,20
SAFE.AD - 20% DISCOUNT UNTIL 1 MAY,19
Bancor,17
WisePlat Token,17
ICONOMI,17
Aragon,16
TenXPay,16
Qtum,15
Loopring,14
Monaco,14
WinETHFree,13
SONM,13
Veritaseum,12
Storj,12
Dao.Casino,11
Yooba token,11
An Etheal Promo,10
Lino,9
ZRX,9
TAAS,9
Humaniq,9
WINGS,9
https://findtherabbit.me,8
FunFair,8
Kin,8
Aeternity,8
KyberNetwork,7
Crypto.com,7
OCoin,7
Populous,7
DMTS,6
Patientory,6
BitClave,6
EMO tokens,6
UG Token,6
TokenCard,6
TIME,6
SwarmCity,6
AION,6
Civic,6
DICE,5
Edgeless,5
DGD,5
MobileGo,5
Gnosis,5
MCAP,5
More Gold Coin,5
Delta,5
Delphy Token,5
RAZOOM,5
BeautyChain,5
Pundi X Token,5
VeChain,4
Salt,4
Super Wallet Token,4
TheDAO,4
district0x,4
Cofoundit,4
Pro,4
MT Token,4
Data,4
PILLAR,4
Trip.io Ad,4
OPEN Chain,4
NucleusVision,4
NEVERDIE,4
Bytom,4
LockTrip,4
minereum,3
ECHARGE,3
EnjinCoin,3
Ethos,3
Ether Token,3
Soarcoin,3
FinallyUsableCryptoKarma,3
Genaro X,3
HuobiToken,3
ICON,3
XCELTOKEN,3
Individual Content &amp; Skill Token,3
Insolar,3
Stox,3
VIN,3
Numeraire,3
Trustcoin,3
PoSToken,3
SNGLS,3
WELL Token,3
,3
Beauty Coin,3
BigBang Game Coin Token,3
CRYPTOPUNKS,3
BPTN,3
shellchains.com,2
Frikandel,2
FUCKtoken,2
AdEx,2
AirCoin,2
Mysterium,2
REP,2
FirstBlood,2
RLC,2
Flyp.me,2
Azbit,2
CanYaCoin,2
QRL,2
AnyCoinVer10,2
Love Chain,2
Lunyr,2
Send your ETH to this contract and earn 2.55% every day for Live-long. https://255eth.club,2
Gifto,2
SAN,2
Upfiring,2
Guppy,2
SIGMA,2
Bitcoineum,2
FIFA.win,2
YouDeal Token,2
DCORP,2
Cashaa,2
Dragon,2
BizCoin,2
Olive,2
Polybius,2
TRUE Token,2
Carrots,2
Telcoin,2
bitqy,2
Centra,2
Ether,2
Penis,2
Pundi X,2
Dentacoin,2
Ethbits,2
SingularityNET,1
BMB,1
SPECTRE SUBSCRIBER2 TOKEN,1
Storiqa,1
SanDianZhong,1
Six Domain Asset,1
Signals Network Token,1
Skraps,1
StatusGenesis,1
BCT Token,1
Silent Notary Token,1
SkinCoin,1
Snovio,1
BNB,1
SinghCoin,1
Rebellious,1
BRAT,1
QKC,1
Pluton,1
BitAir,1
Poker Chips,1
Poker IO,1
Polymath,1
Biograffi,1
PowerLedger,1
Primas,1
Bilian,1
Bigbom,1
Proof Test,1
Beth,1
BSB,1
RCoinVer70,1
ROOMDAO COIN (RDC),1
Raiden,1
Substratum,1
Relex,1
Republic,1
BUZCOIN,1
Request,1
RvT,1
BTOCoin,1
SCAM Stamp Token,1
BCShareS,1
Decentraland,1
BCG.to,1
BCDN,1
WFee,1
Amber,1
WORLD of BATTLES,1
Walton,1
WaykiCoin,1
Welcome Coin,1
WhalesburgToken,1
Wrapped Ether,1
ARP,1
ALFA NTOK,1
AIT,1
Yun Planet,1
ZEON,1
ZGC,1
ZMINE Token,1
AI Gaming Coin,1
Zilliqa,1
Zombie X Chain,1
bitqy10,1
ABCC invite,1
A2A(B) STeX Exchange Token,1
empowr,1
freetoken.pro,1
1irst,1
iEx.ec Network Token,1
iXledger,1
0xBitcoin Token,1
savedroid,1
vSlice,1
Amplify,1
ViteToken,1
VectoraicToken,1
Avocado,1
BBN,1
BAX,1
TOKOK,1
TaTaTu,1
TemboCoin,1
BANKEX,1
Testamint,1
The Force Token,1
BAI,1
ThoreCash,1
Tierion Network Token,1
Tokenomy,1
Trade,1
Atonomi,1
AppCoins,1
TrueUSD,1
Asobicoin promo,1
TurnGreenToken,1
TzLibre Token,1
UG Coin,1
ArtisTurba,1
USD Coin,1
USDDex Stablecoin,1
Unicorns,1
UnikoinGold,1
Arcona Distribution Contract,1
ArcBlock,1
VTChain,1
Petroleum,1
OOOBTCTOKEN,1
PayPie,1
Cryptonex (CNX),1
GECoin,1
GOT,1
GRID,1
CryptoLah,1
GSG coin,1
Galbi,1
Crypterium,1
Genesis Vision,1
Credo Token,1
Covesting,1
